"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Adgrg1",0.474848907545146,0.0967845495292377,0.013,0.013,1,0,0
"C1ql1",0.476585039421117,-0.467664529940091,0,0,1,0,0
"Camk4",0.476585039421117,-0.467664529940091,0,0,1,0,0
"Gen1",0.476585039421117,-0.467664529940091,0,0,1,0,0
"Myrf",0.476585039421117,-0.467664529940091,0,0,1,0,0
"Eipr1",0.492622347873932,-0.0694421410364559,0.013,0.013,1,0,0
"E2f2",0.493508841660601,-0.0553029686090669,0.013,0.013,1,0,0
"Ccl24",0.493980304408426,0.532335470059909,0,0,1,0,0
"Snph",0.493980304408426,0.532335470059909,0,0,1,0,0
"Star",0.493980304408426,0.532335470059909,0,0,1,0,0
"Flt3l",0.495556529712649,0.368836737777029,0,0,1,0,0
"Hmga2",0.49775530004345,-0.0714535534337264,0.009,0.009,1,0,0
"Pgf",0.504231415968277,-0.175483778446781,0.001,0.001,1,0,0
"Cdcp1",0.504774813369381,-0.100521720765559,0.005,0.005,1,0,0
"Dhodh",0.508457019658974,-0.538053857831489,0,0,1,0,0
"Ebf3",0.508457019658974,-0.538053857831489,0,0,1,0,0
"Enpp6",0.508457019658974,-0.538053857831489,0,0,1,0,0
"Gabrb3",0.508457019658974,-0.538053857831489,0,0,1,0,0
"Klc3",0.508457019658974,-0.538053857831489,0,0,1,0,0
"Mtcl1",0.508457019658974,-0.538053857831489,0,0,1,0,0
